GPU processors,avg,error_bar,run1,run2,run3
1,25.7188846,0.044167349999998606,25.74710793,25.70660529,25.70294058
4,6.460049213333334,0.011539870000000008,6.46636324,6.45896103,6.45482337
8,3.2331279299999998,0.01937211999999988,3.23711051,3.22145058,3.2408227
12,2.194731013333333,0.060415620000000114,2.17695476,2.17341133,2.23382695
16,1.6570382133333332,0.06245177000000002,1.63405004,1.64056279,1.69650181
20,1.3426646,0.03775828000000003,1.32900392,1.3667622,1.33222768
24,1.13596141,0.05632731000000013,1.17217414,1.11584683,1.11986326
28,1.0373036466666665,0.012794929999999871,1.04212288,1.02932795,1.04046011
32,0.9269338566666666,0.021227040000000086,0.91640479,0.93763183,0.92676495
36,0.8662978866666666,0.023109839999999937,0.86409856,0.87895247,0.85584263
40,0.7790682833333333,0.04699859000000006,0.75155882,0.78708862,0.79855741
44,0.7781140400000001,0.13210431999999994,0.84328768,0.71118336,0.77987108
48,0.8058134166666667,0.14857392000000003,0.90090581,0.75233189,0.76420255
