N,best P for naive algorithm,best P for enhanced algorithm
10000,3,101
20000,4,141
50000,7,221
100000,10,321
200000,14,441
500000,22,701
1000000,32,981
2000000,45,1401
5000000,71,2201
10000000,100,3141
20000000,141,4421
50000000,223,7001
100000000,316,9901
200000000,447,14041
500000000,707,22261
1000000000,1000,31521
2000000000,1413,44621
5000000000,2234,70501
10000000000,3160,99701
20000000000,4470,141221
50000000000,7067,223321
100000000000,9993,315861
200000000000,14135,446621
500000000000,22347,706561
