GPU processors,avg,error_bar,run1,run2,run3
1,257.5027922233333,0.7007556000000363,257.73003183,257.73955022,257.03879462
4,64.43889776333333,0.032951629999999454,64.41804248,64.4476567,64.45099411
8,32.42823991,0.32245594000000466,32.60052395,32.40612777,32.27806801
12,21.953313623333333,0.6556399000000006,22.37516434,21.76525209,21.71952444
16,16.46927013,0.06530752000000106,16.45245551,16.5103312,16.44502368
20,13.574825823333335,0.39977606000000065,13.71678844,13.69067665,13.31701238
24,11.425699800000002,0.49017090000000074,11.14996051,11.64013141,11.48700748
28,10.466157359999999,0.010975059999999814,10.47274028,10.46176522,10.46396658
32,9.289821656666666,0.3316719799999994,9.21399125,9.16190087,9.49357285
36,8.378714863333334,0.18951364000000126,8.29907454,8.48858818,8.34848187
40,7.714428473333332,0.24813828999999998,7.73189421,7.82976475,7.58162646
44,7.194752593333333,0.5077541399999994,7.0255923,7.02545567,7.53320981
48,6.44342352,0.05645813000000022,6.42350159,6.42680925,6.47995972
