GPU processors,avg,error_bar,run1,run2,run3
4,258.5168138466667,0.630696979999982,258.74983161,258.6814753,258.11913463
8,261.8466950833333,10.472941419999984,268.65959195,258.18665053,258.69384277
12,260.68183544666664,2.449361109999984,260.64610301,259.47502111,261.92438222
16,264.44420824,5.660743529999991,267.84055541,262.17981188,263.31225743
20,272.6223092166667,9.644621669999992,275.81518576,266.20356011,275.84818178
24,240.04021073666664,82.71217676999999,266.49563534,268.16858682,185.45641005
28,291.7398851166667,4.550741949999974,293.0432865,288.81281345,293.3635554
32,294.82733084333336,4.4628995699999905,295.93656066,292.04126615,296.50416572
36,300.4913927133333,11.568886399999997,307.85594842,297.3311677,296.28706202
40,310.09108732,12.48193170999997,309.54371839,304.12380593,316.60573764
44,316.75884306333336,20.989675009999985,311.16947532,330.04836444,309.05868943
48,318.04231396333336,21.278536290000034,326.80640584,305.52786955,321.7926665
