# Clock frequency is approx. 3169.6 MHz
# Memory mountain (MB/sec)
15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	36461	21358	14457	9459	7374	6296	5591	4924	4779	4670	4569	4566	4473	4411	4275	
16	37644	21607	14367	9725	7398	6581	5676	4994	4944	4750	4788	4640	4660	4475	4546	
15	39021	22879	15441	10392	7910	6883	5934	5178	5247	5093	5205	5001	5040	5036	5148	
14	40450	24594	18196	14085	9346	7912	7003	6258	6359	6325	6496	6483	6485	6539	6638	
13	46940	27833	24016	20152	16716	14207	12511	12542	12566	12762	13635	14291	14522	14781	14792	
12	70489	51181	40591	33077	27525	23133	20304	18088	17461	17081	16812	17623	17368	17193	16911	
11	74660	54273	43126	35051	29207	24474	21533	19153	18516	18149	17833	17656	17365	17192	16966	
10	74738	54176	43186	35243	29354	24591	21651	19260	18739	18500	18513	18699	18889	19451	19924	
9	80381	56527	50838	45977	40295	34733	30695	27136	27403	29722	30378	31886	35321	34546	37213	
8	78026	61113	60671	59777	57780	54627	50726	46161	44364	45528	45339	45226	44725	44489	43788	
7	78092	61131	61058	59828	58063	55749	51742	47731	45298	45503	44906	45312	44322	44489	43140	
6	78033	60809	60578	59282	57620	55657	51878	47382	45162	55241	78022	83218	79099	85270	81941	
5	91508	91913	88766	87721	87271	83218	84301	82169	80121	80494	80676	79386	76071	78903	76916	
4	90315	88318	86116	82169	78664	77955	81504	73766	72109	76350	67422	65553	64415	57945	65306	
